"name" , "web_page" , "domain" , "country"
"Abilene Christian University" , "http://www.acu.edu/" , "acu.edu" , "USA" 
"Adelphi University" , "http://www.adelphi.edu/" , "adelphi.edu" , "USA" 
"Agnes Scott College" , "http://www.scottlan.edu/" , "scottlan.edu" , "USA" 
"Air Force Institute of Technology" , "http://www.afit.af.mil/" , "afit.af.mil" , "USA" 
"Alabama A&M; University" , "http://www.aamu.edu/" , "aamu.edu" , "USA" 
"Alabama State University" , "http://www.alasu.edu/" , "alasu.edu" , "USA" 
"Albertson College of Idaho" , "http://www.acofi.edu/" , "acofi.edu" , "USA" 
"Albion College" , "http://www.albion.edu/" , "albion.edu" , "USA" 
"Alfred University" , "http://www.alfred.edu/" , "alfred.edu" , "USA" 
"Allegheny College" , "http://www.alleg.edu/" , "alleg.edu" , "USA" 
"Allentown College of Saint Francis de Sales" , "http://www.allencol.edu/" , "allencol.edu" , "USA" 
"Alma College" , "http://www.alma.edu/" , "alma.edu" , "USA" 
"Alverno College" , "http://www.alverno.edu/" , "alverno.edu" , "USA" 
"Ambassador University" , "http://www.ambassador.edu/" , "ambassador.edu" , "USA" 
"American Coastline University" , "http://www.amercoastuniv.edu/" , "amercoastuniv.edu" , "USA" 
"American Graduate School of International Management" , "http://www.t-bird.edu/" , "t-bird.edu" , "USA" 
"American International College" , "http://www.aic.edu/" , "aic.edu" , "USA" 
"American University" , "http://www.american.edu/" , "american.edu" , "USA" 
"Amherst College" , "http://www.amherst.edu/" , "amherst.edu" , "USA" 
"Andrews University" , "http://www.andrews.edu/" , "andrews.edu" , "USA" 
"Angelo State University" , "http://www.angelo.edu/" , "angelo.edu" , "USA" 
"Antioch College" , "http://college.antioch.edu/" , "college.antioch.edu" , "USA" 
"Antioch New England" , "http://www.antiochne.edu/" , "antiochne.edu" , "USA" 
"Antioch University-Los Angeles" , "http://www.antiochla.edu/" , "antiochla.edu" , "USA" 
"Antioch University-Seattle" , "http://www.seattleantioch.edu/" , "seattleantioch.edu" , "USA" 
"Appalachian State University" , "http://www.acs.appstate.edu/" , "appstate.edu" , "USA" 
"Aquinas College" , "http://www.aquinas.edu/" , "aquinas.edu" , "USA" 
"Arizona State University" , "http://www.asu.edu/" , "asu.edu" , "USA" 
"Arizona State University West" , "http://www.west.asu.edu/" , "west.asu.edu" , "USA" 
"Arizona Western College" , "http://www.awc.cc.az.us/" , "awc.cc.az.us" , "USA" 
"Arkansas State University, Jonesboro" , "http://www.astate.edu/" , "astate.edu" , "USA" 
"Arkansas Tech University" , "http://www.atu.edu/" , "atu.edu" , "USA" 
"Armstrong State College" , "http://www.armstrong.edu/" , "armstrong.edu" , "USA" 
"Ashland University" , "http://www.ashland.edu/" , "ashland.edu" , "USA" 
"Assumption College" , "http://www.assumption.edu/" , "assumption.edu" , "USA" 
"Auburn University" , "http://www.auburn.edu/" , "auburn.edu" , "USA" 
"Auburn University - Montgomery" , "http://www-biz.aum.edu/" , "aum.edu" , "USA" 
"Augsburg College" , "http://www.augsburg.edu/" , "augsburg.edu" , "USA" 
"Augustana College (IL)" , "http://www.augustana.edu/" , "augustana.edu" , "USA" 
"Augustana College (SD)" , "http://www.augie.edu/" , "augie.edu" , "USA" 
"Aurora University" , "http://www.aurora.edu/" , "aurora.edu" , "USA" 
"Austin College" , "http://www.austinc.edu/" , "austinc.edu" , "USA" 
"Austin Peay State University" , "http://www.apsu.edu/" , "apsu.edu" , "USA" 
"Averett College" , "http://www.averett.edu/" , "averett.edu" , "USA" 
"Avila College" , "http://www.avila.edu/" , "avila.edu" , "USA" 
"Azusa Pacific University" , "http://www.apu.edu/" , "apu.edu" , "USA" 
"Babson College" , "http://www.babson.edu/" , "babson.edu" , "USA" 
"Baldwin-Wallace College" , "http://www.baldwinw.edu/" , "baldwinw.edu" , "USA" 
"Ball State University" , "http://www.bsu.edu/" , "bsu.edu" , "USA" 
"Baker University" , "http://www.bakeru.edu/" , "bakeru.edu" , "USA" 
"Baptist Bible College" , "http://www.bbc.edu/" , "bbc.edu" , "USA" 
"Bard College" , "http://www.bard.edu/" , "bard.edu" , "USA" 
"Barry University" , "http://www.barry.edu/" , "barry.edu" , "USA" 
"Bastyr University" , "http://www.bastyr.edu/" , "bastyr.edu" , "USA" 
"Bates College" , "http://www.bates.edu/" , "bates.edu" , "USA" 
"Baylor College of Medicine" , "http://www.bcm.tmc.edu/" , "bcm.tmc.edu" , "USA" 
"Baylor University" , "http://www.baylor.edu/" , "baylor.edu" , "USA" 
"Beaver College" , "http://www.beaver.edu/" , "beaver.edu" , "USA" 
"Belmont University" , "http://acklen.belmont.edu/welcome.html" , "belmont.edu" , "USA" 
"Beloit College" , "http://stu.beloit.edu/" , "beloit.edu" , "USA" 
